166.4086 	EXP 	polygon: autoDraw = False
166.4086 	EXP 	grating: autoDraw = False
166.4088 	EXP 	window1: recordFrameIntervals = False
167.4067 	EXP 	polygon: autoDraw = True
168.4078 	EXP 	polygon: autoDraw = False
168.4078 	EXP 	grating: autoDraw = True
168.4078 	EXP 	grating: tex = 'sin'
168.7234 	EXP 	grating: autoDraw = False
168.8089 	EXP 	window1: recordFrameIntervals = False
168.8099 	DATA 	Keypress: right
168.8231 	EXP 	polygon: autoDraw = False
168.8231 	EXP 	grating: autoDraw = False
168.8234 	EXP 	window1: recordFrameIntervals = False
169.8259 	EXP 	polygon: autoDraw = True
170.8083 	EXP 	grating: autoDraw = True
170.8083 	EXP 	grating: tex = 'sin'
170.8414 	EXP 	polygon: autoDraw = False
171.1082 	EXP 	grating: autoDraw = False
171.1296 	EXP 	window1: recordFrameIntervals = False
171.1317 	DATA 	Keypress: left
171.1430 	EXP 	polygon: autoDraw = False
171.1430 	EXP 	grating: autoDraw = False
171.1433 	EXP 	window1: recordFrameIntervals = False
172.1411 	EXP 	polygon: autoDraw = True
173.1425 	EXP 	polygon: autoDraw = False
173.1425 	EXP 	grating: autoDraw = True
173.1425 	EXP 	grating: tex = 'sin'
173.4580 	EXP 	grating: autoDraw = False
173.7613 	EXP 	window1: recordFrameIntervals = False
173.7625 	DATA 	Keypress: left
173.7754 	EXP 	polygon: autoDraw = False
173.7754 	EXP 	grating: autoDraw = False
173.7756 	EXP 	window1: recordFrameIntervals = False
174.7748 	EXP 	polygon: autoDraw = True
175.7750 	EXP 	polygon: autoDraw = False
175.7750 	EXP 	grating: autoDraw = True
175.7750 	EXP 	grating: tex = 'sin'
176.0754 	EXP 	grating: autoDraw = False
176.2771 	EXP 	window1: recordFrameIntervals = False
176.2781 	DATA 	Keypress: left
176.2919 	EXP 	polygon: autoDraw = False
176.2919 	EXP 	grating: autoDraw = False
176.2921 	EXP 	window1: recordFrameIntervals = False
177.2912 	EXP 	polygon: autoDraw = True
178.2759 	EXP 	grating: autoDraw = True
178.2759 	EXP 	grating: tex = 'sin'
178.2925 	EXP 	polygon: autoDraw = False
178.5766 	EXP 	grating: autoDraw = False
178.7448 	EXP 	window1: recordFrameIntervals = False
178.7459 	DATA 	Keypress: left
178.7603 	EXP 	polygon: autoDraw = False
178.7603 	EXP 	grating: autoDraw = False
178.7605 	EXP 	window1: recordFrameIntervals = False
179.7584 	EXP 	polygon: autoDraw = True
180.7437 	EXP 	grating: autoDraw = True
180.7437 	EXP 	grating: tex = 'sin'
180.7603 	EXP 	polygon: autoDraw = False
181.0438 	EXP 	grating: autoDraw = False
181.2626 	EXP 	window1: recordFrameIntervals = False
181.2638 	DATA 	Keypress: right
181.2769 	EXP 	polygon: autoDraw = False
181.2769 	EXP 	grating: autoDraw = False
181.2771 	EXP 	window1: recordFrameIntervals = False
182.2760 	EXP 	polygon: autoDraw = True
183.2614 	EXP 	grating: autoDraw = True
183.2614 	EXP 	grating: tex = 'sin'
183.2780 	EXP 	polygon: autoDraw = False
183.5612 	EXP 	grating: autoDraw = False
183.6469 	EXP 	window1: recordFrameIntervals = False
183.6479 	DATA 	Keypress: left
183.6615 	EXP 	polygon: autoDraw = False
183.6615 	EXP 	grating: autoDraw = False
